iter	Passed	Remaining
0	1	144
1	1	90
2	2	73
3	2	63
4	2	56
5	3	49
6	3	45
7	3	43
8	4	42
9	4	41
10	4	38
11	5	37
12	5	35
13	5	34
14	5	33
15	6	32
16	6	31
17	6	30
18	7	30
19	7	29
20	7	28
21	7	27
22	8	26
23	8	26
24	8	26
25	9	26
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	22
32	10	22
33	11	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	13	19
41	13	19
42	14	18
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	18	16
53	18	16
54	19	15
55	19	15
56	19	14
57	19	14
58	20	14
59	20	13
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	29	6
81	30	6
82	30	6
83	31	5
84	31	5
85	32	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	36	0
99	36	0
